procedure,specialty
Uretero-Colic anastomosis,Nephrology And Urology Procedure
Ureterolithotomy -open,Nephrology And Urology Procedure
Ureterolithotomy-Lap/Endoscopic,Nephrology And Urology Procedure
Ureteroscopic Resection,Cancer Surgery
Ureteroscopic Surgery,Nephrology And Urology Procedure
Ureteroscopy,Cancer Surgery
Ureterostomy - Cutaneous,Nephrology And Urology Procedure
Urethral Dilatation,Cancer Surgery
Urethral Reconstruction - substitution urethroplasty (Transpubic urethroplasty),Nephrology And Urology Procedure
Urethral Reconstruction -End to end anastomosis,Nephrology And Urology Procedure
Urethrectomy,Cancer Surgery
Urethroplasty,Cancer Surgery
Urethroplasty 1st Stage,Nephrology And Urology Procedure
Urethroscopy/ Cystopanendoscopy,Nephrology And Urology Procedure
Urethrotomy Visual Internal,Cancer Surgery
Urinary Chloride,Laboratory Investigation
Urinary Vanillylmandelic Acid (VMA),Laboratory Investigation
Urinary bladder Catheterisation,General Procedure
Urinary calcium,Laboratory Investigation
Urinary copper,Laboratory Investigation
Urinary free catecholamine,Laboratory Investigation
Urinary metanephrine/Normetanephrine,Laboratory Investigation
Urinary potassium,Laboratory Investigation
Urinary sodium,Laboratory Investigation
Urine Bile Pigment and Salt,Laboratory Investigation
Urine For Myoglobin,Laboratory Investigation
Urine Ketones,Laboratory Investigation
Urine Microalbumin,Laboratory Investigation
Urine Occult Blood,Laboratory Investigation
Urine Pregnancy Test(UPT),Laboratory Investigation
"Urine Routine- pH, Specific Gravity, Sugar, Protein and Microscopy",Laboratory Investigation
Urine Total Proteins,Laboratory Investigation
Urine Urobilinogen,Laboratory Investigation
Urodynamic Study (Cystometry),Nephrology And Urology Investigation
Uroflow Study (Uroflowmetry),Nephrology And Urology Investigation
Uvulo-palatoplasty,ENT Procedure
V Beta Repertoire Analysis by Flow Cytometry for T-Cell Clonality,Oncology Investigations
VAC Therapy/Dressing including all Consumables,Burns And Plastic Surgery Procedure
VEP- visually evoked potential - Both Eyes,Ophthalmology Investigation
Vaginal Colpopexy/colpopexy-abdominal,Obstetrics And Gynaecology Procedure
Vaginal Hysterectomy ( including of BSO) with or without repairs,Obstetrics And Gynaecology Procedure
Vaginal Reconstruction,Cancer Surgery
Vaginal Vesicovaginal Fistula (VVF) Repair,Obstetrics And Gynaecology Procedure
Vaginal/Cervical Myomectomy,Obstetrics And Gynaecology Procedure
Vaginoplasty,Obstetrics And Gynaecology Procedure
Vagotomy Pyloroplasty / Gastro Jejunostomy,Abdomen/GI Surgery Procedure
Valproic acid.,Laboratory Investigation
Vanillylmandelic Acid (VMA),Laboratory Investigation
Varicose vein Surgery-Trendelenburg Operation with Suturing or Ligation,Cardiovascular And Cardiac Surgery Procedure
Vascular Embolization,Gastroenterology/Interventional Radiology Procedures
Vascular Malformations,Neuro-Surgery Procedure
Vascular Repair,Cardiovascular And Cardiac Surgery Procedure
Veneer - Ceramic paediatric,Dental Procedure
Venereal Disease Research Laboratory Test (VDRL),Laboratory Investigation
Venesection,General Procedure
Venography,Cardiology Investigation
Venous Colour Doppler Bilateral,Radiological Investigation
Ventilator charges (Per day) inclusive of associated disposables,Critical Care
Ventral /incisional Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure
Ventricular Septal Defect (VSD) with Graft / VSD Device Closure excluding the cost of the Device,Cardiovascular And Cardiac Surgery Procedure
Ventricular Tapping,Neuro-Surgery Procedure
Ventriculoatrial /Ventriculoperitoneal Shunt,Neuro-Surgery Procedure
Vertebroplasty,Orthopaedics Procedure
Vesicovaginal Fistula (VVF) Repair (Laparoscopic),Nephrology And Urology Procedure
Vesicovaginal Fistula (VVF) Repair (Open),Nephrology And Urology Procedure
Vestibular Evoked Myogenic Potential (VEMP),ENT Investigation
Video Assisted Thoracoscopic Surgery (VATS) for Decortication of Lungs/Thymectomy/Other Major Surgeries,Cardiovascular And Cardiac Surgery Procedure
Video Bronchoscopy with BAL,Pulmonology Procedure
Video Laryngoscopy,ENT investigation
Videonystagmography(VNG),ENT Investigation
Videostroboscopy,ENT Investigation
Vidian neurectomy for vasomotor Rhinitis,ENT Procedure
Viral culture,Laboratory Investigation
Vitamin B12 Assay.,Laboratory Investigation
Vitrectomy +membrane peeling +fluid air exchange+endolaser+ gas/silicon oil tamponade per eye,Ophthalmology Procedure
Vitrectomy +phaco fragmentation/ IOL drop +/- secondary IOL per eye,Ophthalmology Procedure
Vitrectomy- pars plana including Fluid air exchange (per eye),Ophthalmology Procedure
Vitreous biopsy per eye,Ophthalmology Biopsy
Voiding-cysto-urethrogram and retrograde urethrogram (Nephrostogram),Nephrology And Urology Investigation
Vulva Hemivulvectomy,Cancer Surgery
Vulva Wide Excision,Cancer Surgery
Vulvectomy -Simple,Obstetrics And Gynaecology Procedure
Vulvectomy Radical,Cancer Surgery
Vulvectomy Total,Cancer Surgery
Warren Shunt (Distal Splenorenal Shunt),Abdomen/GI Surgery Procedure
Weil Felix Agglutination Test,Laboratory Investigation
Whole Body Bone Scan with SPECT.,Nuclear Medicine Investigation
Whole Body Scan with MIBG,Nuclear Medicine Investigation
Whole body MRI (For oncological workup),Radiological Investigation
Widal Test,Laboratory Investigation
Wide excision -Lip and Neck.,Cancer Surgery
Wide excision Lip lesion.,Cancer Surgery
Wide excision floor of the mouth/Neck,Cancer Surgery
X Ray Abdomen & Pelvis for KUB,Radiological Investigation
X Ray Abdomen AP Supine or Erect (One film),Radiological Investigation
X Ray Abdomen Lateral view (one film),Radiological Investigation
X Ray Chest Lateral (one film),Radiological Investigation
X Ray Chest PA /AP/ Oblique view (one film),Radiological Investigation
"X Ray Extremities (Hand/Leg/Feet/Finger/Toe) bones & Joints (Hip/ Knee/Ankle / shoulder/ Wrist / fingers/Toes, etc) AP & Lateral views (standing or weight bearing)(Two films)",Radiological Investigation
X Ray Mammography - Bilateral/Unilateral,Radiological Investigation
"X Ray Mastoids: Towne view, oblique views (3 films)",Radiological Investigation
X Ray Paranasal sinuses (PNS) view (1 film),Radiological Investigation
X Ray Pelvis AP (one film),Radiological Investigation
"X Ray Skull AP & Lateral (2 films)/ Extra oral radiographs - All skull views, TMJ, Lateral oblique [Dental]",Radiological Investigation
X Ray Spine AP & Lateral (2 films),Radiological Investigation
X Ray Temporomandibular (TM) Joints (one film),Radiological Investigation
X Ray orbit -Bilateral,Ophthalmology Investigation
X ray Arthrography,Radiological Investigation
XX/XY (Chimerism Studies) in Sex mismatch Bone Marrow Transplantation (BMT),Oncology Investigations
YAG Laser capsulotomy per eye,Ophthalmology Procedure
YAG Laser iridotomy / Hyaloidotomy/Laser suture lysis post trabeculectomy per eye,Ophthalmology Procedure
Young's operation for Atrophic rhinitis,ENT Procedure
dissection.,Cancer Surgery
excision Chordectomy.,Cancer Surgery
hysteroscopic resection of uterine septum,Obstetrics And Gynaecology Procedure
iStent Inject per eye including the cost of consumables and implant,Ophthalmology Procedure
middle 1/3rd,Cancer Surgery
t(1;22) and Trisomy 21 in Acute Megakaryoblastic Leukemia (AML -M7) (2 Markers),Oncology Investigations
up to 30% Burns 1st Dressing,Burns And Plastic Surgery Procedure
up to 30% Burns Subsequent Dressing,Burns And Plastic Surgery Procedure
